#;Name;Red;Green;Blue;Yellow;Gold;Silver;Crystal;Ruby;Sapphire;FireRed;LeafGreen;Emerald;Colosseum;JapBonusDisc;XD;Diamond;Pearl;Platinum;HeartGold;SoulSilver;Ranch;BattleRev;Black;White;Black2;White2;X;Y;OmegaRuby;AlphaSapphire;Sun;Moon;UltraSun;UltraMoon;LetsGoPikachu;LetsGoEevee;Sword;Shield;BrilliantDiamond;ShiningPearl;LegendsArceus;Scarlet;Violet
104;Cubone;C;C;C;C;C;C;C;T;T;C;C;T;T;—;T;S;S;S;C;C;—;—;B;B;DW;DW;C;C;T;T;C;C;C;C;C;C;CD;CD;C;C;—;—;—
105;Marowak;C;C;C;C;C;C;C;T;T;C;C;T;T;—;S;E;E;E;C;C;—;—;C;C;DWE;DWE;E;E;T;T;T;T;E;E;E;E;CD;CD;E;E;—;—;—
105;"Marowak
(Alolan Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;E;E;R;E;R;R;RD;RD;—;—;—;—;—
106;Hitmonlee;R;R;R;R;E;E;E;T;T;R;R;T;T;—;S;E;E;E;E;E;—;—;E;E;DWE;DWE;FSE;FSE;E;E;T;T;T;T;C;C;C;D;E;E;—;CD;CD
107;Hitmonchan;R;R;R;R;E;E;E;T;T;R;R;T;T;—;S;E;E;E;E;E;—;—;E;E;DWE;DWE;FSE;FSE;E;E;T;T;T;T;C;C;D;C;E;E;—;CD;CD
108;Lickitung;R;R;R;C;C;C;C;T;T;R;R;T;T;—;S;S;S;C;C;C;C;—;C;C;C;C;C;C;T;T;T;T;C;C;C;C;CD;CD;C;C;C;—;—
109;Koffing;C;C;C;T;C;C;C;C;C;C;C;C;T;—;T;B;B;C;C;C;—;—;DW;DW;C;C;T;T;C;C;T;T;T;T;T;C;C;C;B;B;—;CD;CD
110;Weezing;C;C;C;T;E;E;C;E;E;C;E;E;T;—;T;C;C;C;C;C;—;—;DWE;DWE;C;C;T;T;E;E;T;T;T;T;T;C;RD;RD;C;C;—;CD;CD
110;"Weezing
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;C;—;—;—;TED;TED
111;Rhyhorn;C;C;C;C;C;C;C;C;C;C;C;C;T;—;T;C;C;C;C;C;—;—;DW;C;R;R;C;C;C;C;S;S;S;S;C;C;C;C;C;C;C;CD;CD
112;Rhydon;C;C;C;C;R;R;C;E;E;E;E;E;T;—;S;C;C;C;C;C;—;—;DWE;E;E;E;E;E;E;E;E;E;E;E;C;C;C;C;C;C;C;CD;CD
113;Chansey;C;C;C;C;C;C;C;Ev;Ev;C;C;Ev;T;—;S;C;C;C;C;C;—;—;DW;E;E;E;FS;FS;E;E;C;C;C;C;C;C;CD;CD;C;C;C;C;C
114;Tangela;C;C;C;C;C;C;C;T;T;C;C;T;T;—;S;Ev;Ev;C;C;C;C;—;C;C;C;C;FS;FS;C;C;T;T;T;T;C;C;CD;CD;C;C;C;—;—
115;Kangaskhan;C;C;C;C;C;C;C;Ev;Ev;C;C;Ev;T;—;S;S;S;S;C;C;—;—;C;C;DW;DW;C;C;Ev;Ev;C;C;C;C;C;C;CD;CD;S;S;—;—;—
116;Horsea;C;C;C;C;C;C;C;C;C;C;C;C;T;—;T;C;C;C;C;C;—;—;C;C;C;C;C;C;C;C;S;S;S;S;C;C;CD;CD;C;C;—;CD;CD
117;Seadra;C;C;C;C;C;C;C;E;E;C;E;E;T;—;T;C;C;C;C;C;—;—;C;C;C;C;C;C;C;C;E;E;E;E;C;C;CD;CD;C;C;—;CD;CD
118;Goldeen;C;C;C;C;C;C;C;C;C;C;C;C;T;—;T;C;C;C;C;C;—;—;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;—;—;—
119;Seaking;C;C;C;C;C;C;C;C;C;C;C;C;T;—;T;C;C;C;C;C;—;—;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;—;—;—
120;Staryu;C;C;C;C;C;C;C;C;C;Ev;C;C;T;—;T;C;C;C;C;C;—;—;C;C;C;C;C;T;C;C;C;C;C;C;C;C;CD;CD;C;C;—;—;—
121;Starmie;E;E;E;E;E;E;E;E;E;EvE;E;E;T;—;S;E;E;E;E;E;—;—;C;C;C;C;C;T;E;E;C;C;C;C;C;C;CD;CD;E;E;—;—;—
122;Mr. Mime;R;R;R;R;C;C;C;T;T;R;R;T;T;—;S;C;E;C;C;C;—;—;DW;DW;DW;S;C;C;T;T;T;T;C;C;C;C;R;R;C;C;C;—;—
122;"Mr. Mime
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;C;—;—;—;—;—
123;Scyther;C;T;T;C;C;C;C;Ev;Ev;C;Ev;Ev;T;—;S;C;EvB;C;C;C;—;—;DW;DW;DW;DW;C;C;T;T;C;C;C;C;C;T;CD;CD;C;T;C;C;C
124;Jynx;R;R;R;T;C;C;C;T;T;R;R;T;T;—;T;E;E;C;C;C;—;—;C;C;DRE;DRE;C;C;T;T;T;T;C;C;C;C;CD;CD;E;E;—;—;—
125;Electabuzz;C;T;T;T;C;C;C;Ev;Ev;C;Ev;Ev;T;—;S;DE;DE;C;C;C;—;—;DWE;E;DWE;E;FS;FS;E;E;C;C;C;C;C;C;CD;CD;E;T;C;CD;CD
126;Magmar;T;C;C;T;C;C;C;Ev;Ev;Ev;C;Ev;T;—;S;DE;DE;C;C;C;—;—;DWE;E;E;DWE;FS;FS;E;E;C;C;C;C;C;C;CD;CD;T;E;C;CD;CD
127;Pinsir;T;C;C;C;C;C;C;C;C;T;C;C;T;—;S;T;C;S;C;C;—;—;C;C;C;C;C;FS;C;C;C;C;C;C;T;C;CD;T;T;C;—;—;—
128;Tauros;C;C;C;C;C;C;C;Ev;Ev;C;C;Ev;T;—;S;C;C;C;C;C;—;—;DW;DW;DW;DW;C;C;T;T;C;C;C;C;C;C;CD;CD;C;C;—;CD;CD
128;"Tauros
(Paldean Combat Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;C
128;"Tauros
(Paldean Blaze Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;CC
128;"Tauros
(Paldean Aqua Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;CC;C
129;Magikarp;C;C;C;C;C;C;C;C;C;C;C;C;T;—;T;C;C;C;C;C;—;—;R;R;R;R;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
130;Gyarados;E;E;E;C;C;C;C;C;C;C;C;C;T;—;T;C;C;C;C;C;—;—;E;E;E;E;C;C;C;C;C;C;E;E;C;C;C;C;C;C;C;C;C
131;Lapras;R;R;R;R;C;C;C;T;T;C;C;T;T;—;S;C;C;C;C;C;—;—;C;C;C;C;C;C;T;T;C;C;C;C;C;C;C;C;C;C;—;CD;CD
132;Ditto;C;C;C;C;C;C;C;T;T;C;C;C;T;—;T;C;C;S;C;C;—;—;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;—;C;C
133;Eevee;R;R;R;R;R;R;R;T;T;R;R;T;T;—;R;C;C;C;R;R;C;—;DW;DW;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
134;Vaporeon;E;E;E;E;E;E;E;T;T;E;E;T;T;—;E;E;E;E;E;E;—;—;DWE;DWE;E;E;E;E;E;E;E;E;E;E;E;E;C;C;E;E;C;C;C
135;Jolteon;E;E;E;E;E;E;E;T;T;E;E;T;T;—;E;E;E;E;E;E;—;—;DWE;DWE;E;E;E;E;E;E;E;E;E;E;E;E;C;C;E;E;C;C;C
136;Flareon;E;E;E;E;E;E;E;T;T;E;E;T;T;—;E;E;E;E;E;E;—;—;DWE;DWE;E;E;E;E;E;E;E;E;E;E;E;E;C;C;E;E;C;C;C
137;Porygon;R;R;R;R;R;R;R;T;T;R;R;T;T;—;T;S;S;R;R;R;—;—;Ev;C;DR;DR;T;T;C;C;R;R;R;R;C;C;RD;RD;S;S;C;CD;CD
138;Omanyte;R;R;R;R;Ev;Ev;Ev;T;T;R;R;T;T;—;T;R;R;R;R;T;—;—;R;R;R;R;T;R;T;R;T;T;R;R;R;R;CD;T;R;R;—;—;—
139;Omastar;E;E;E;E;EvE;EvE;EvE;T;T;E;E;T;T;—;T;E;E;E;E;T;—;—;E;E;E;E;T;E;T;E;T;T;E;E;E;E;CD;T;E;E;—;—;—
140;Kabuto;R;R;R;R;Ev;Ev;Ev;T;T;R;R;T;T;—;T;R;R;R;T;R;—;—;R;R;R;R;T;R;R;T;T;T;R;R;R;R;T;CD;R;R;—;—;—
141;Kabutops;E;E;E;E;EvE;EvE;EvE;T;T;E;E;T;T;—;T;E;E;E;T;E;—;—;E;E;E;E;T;E;E;T;T;T;E;E;E;E;T;CD;E;E;—;—;—
142;Aerodactyl;R;R;R;R;R;R;R;T;T;R;R;T;T;—;T;R;R;R;R;R;C;—;R;R;R;R;R;R;R;R;R;R;R;R;R;R;CD;CD;R;R;—;—;—
143;Snorlax;C;C;C;C;C;C;C;T;T;C;C;T;T;—;S;E;E;E;C;C;—;—;E;E;R;R;C;C;T;T;C;C;C;C;C;C;C;C;E;E;C;CD;CD
144;Articuno;C;C;C;C;Ev;Ev;Ev;Ev;Ev;C;C;Ev;T;—;S;T;T;C;C;C;—;—;T;T;T;T;C;C;Ev;Ev;T;T;C;C;C;C;DA;DA;T;C;—;CD;CD
144;"Articuno
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;CD;CD;—;—;—;T;T
145;Zapdos;C;C;C;C;Ev;Ev;Ev;Ev;Ev;C;C;Ev;T;—;S;T;T;C;C;C;—;—;T;T;T;T;C;C;Ev;Ev;T;T;C;C;C;C;DA;DA;T;C;—;CD;CD
145;"Zapdos
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;CD;CD;—;—;—;T;T
146;Moltres;C;C;C;C;Ev;Ev;Ev;Ev;Ev;C;C;Ev;T;—;S;T;T;C;C;C;—;—;T;T;T;T;C;C;Ev;Ev;T;T;C;C;C;C;DA;DA;T;C;—;CD;CD
146;"Moltres
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;CD;CD;—;—;—;T;T
147;Dratini;C;C;C;C;C;C;C;EvB;EvB;C;C;EvB;T;—;T;C;C;C;C;C;—;—;C;C;C;C;C;C;EvB;EvB;C;C;C;C;C;C;CD;CD;C;C;—;C;C
148;Dragonair;E;E;E;C;C;C;C;EvB;EvB;C;C;EvB;T;—;T;C;C;C;C;C;—;—;C;C;C;C;C;C;EvB;EvB;C;C;C;C;C;C;CD;CD;E;E;—;C;C
149;Dragonite;E;E;E;E;E;E;E;Ev;Ev;E;E;Ev;T;—;S;E;E;E;E;E;—;—;C;C;C;C;E;E;Ev;Ev;C;C;C;C;C;C;CD;CD;E;E;—;C;C
150;Mewtwo;C;C;C;C;Ev;Ev;Ev;T;T;C;C;T;T;—;T;T;T;T;C;C;—;—;Ev;Ev;Ev;Ev;C;C;Ev;Ev;T;T;C;C;C;C;DA;DA;C;C;—;EV;EV
151;Mew;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;EV;T;—;T;Ev;Ev;Ev;Ev;Ev;C;—;T;T;T;T;Ev;Ev;Ev;Ev;Ev;Ev;T;T;Ev;Ev;Ev;Ev;CCR;CCR;—;Ev;Ev
